Price Dates,Bhindi (Ladies finger),Tomato,Onion,Potato,Brinjal,Garlic,Peas,Methi,Green Chilli,Elephant Yam (Suran)
01-01-2023,35,18,22,20,30,50,25,8,45,25
02-01-2023,35,16,22,20,30,55,25,7,40,25
03-01-2023,35,16,21,20,30,55,25,7,40,25
04-01-2023,30,16,21,22,25,55,25,7,40,25
08-01-2023,35,16,20,21,25,55,22,6,35,25
11-01-2023,35,16,18,24,25,55,23,6,35,30
12-01-2023,40,16,18,22,30,65,23,6,35,30
15-01-2023,42,16,17,22,25,65,23,7,35,30
17-01-2023,35,16,18,22,30,65,22,10,40,35
22-01-2023,45,16,18,22,40,65,25,9,40,35
23-01-2023,42,16,18,22,50,65,25,8,40,35
24-01-2023,45,16,16,22,60,65,28,15,35,30
25-01-2023,40,16,16,20,70,65,25,15,35,25
27-01-2023,35,16,17,17,50,65,25,15,35,25
29-01-2023,35,16,15,18,40,65,30,15,35,25
30-01-2023,40,16,14,17,50,65,30,15,35,30
31-01-2023,40,16,13.5,18,50,65,30,15,35,30
01-02-2023,42.5,16,13,17,50,65,30,12,45,30
02-02-2023,35,16,13,17,40,65,30,12,42,30
03-02-2023,40,16,12.5,16,40,65,30,14,40,25
05-02-2023,38,16,12,16,50,65,30,12,40,25
06-02-2023,40,16,13,16,40,65,35,12,40,25
07-02-2023,35,16,14,16,40,65,30,10,50,25
08-02-2023,40,16,14,16,40,65,35,10,40,25
09-02-2023,40,16,13,16,40,65,30,10,40,25
10-02-2023,38,16,13,15,40,65,35,10,40,25
12-02-2023,45,16,13,14,45,65,35,8,40,25
13-02-2023,40,16,13,14,35,80,35,7,40,25
14-02-2023,40,16,13,15,30,80,30,7,40,30
15-02-2023,40,16,12,14,30,60,30,6,40,30
16-02-2023,28,16,12,15,30,80,30,6,40,30
17-02-2023,23,16,12,15,30,80,35,8,40,30
19-02-2023,33,16,12,15,30,80,30,5,40,30
20-02-2023,33,16,11,15,25,80,30,5,40,30
21-02-2023,33,16,11,15,20,80,25,5,40,30
22-02-2023,33,16,11,14,20,80,30,6,30,30
23-02-2023,33,16,11,14,20,80,30,5,40,30
24-02-2023,33,16,11,14,30,85,30,6,40,25
26-02-2023,32,16,11,14,25,85,30,6,35,25
27-02-2023,37,16,11,13,16,85,30,6,40,25
28-02-2023,32,16,11,13,20,85,30,7,40,30
01-03-2023,30,16,11,13,20,85,30,6,50,30
02-03-2023,37,16,11,13,20,85,30,7,40,30
03-03-2023,32,16,12,14,20,85,25,8,40,20
05-03-2023,32,16,12,14,25,85,25,6,40,30
06-03-2023,32,16,13,14,14,85,30,7,40,25
08-03-2023,33,16,13,14,20,80,30,7,35,25
09-03-2023,32,16,13,14,16,80,30,5,60,30
10-03-2023,33,16,12,14,16,80,35,5,50,30
12-03-2023,32,16,12,14,20,80,35,6,35,25
13-03-2023,29.5,16,12,15,20,80,30,7,40,30
14-03-2023,35,16,12,14,20,80,35,6,40,30
15-03-2023,28,16,12,14,20,80,30,8,40,22
16-03-2023,37,16,12,13,25,80,30,6,40,30
17-03-2023,32,16,11,13,25,80,30,6,50,30
19-03-2023,37,16,11,13,20,80,35,7,45,25
20-03-2023,32,16,11,13,25,80,40,7,45,25
21-03-2023,32,16,12,13,25,80,40,6,45,30
22-03-2023,32,16,11,13,25,80,50,7,50,15
23-03-2023,37,16,11,13,20,80,50,7,50,15
24-03-2023,40,16,11,13,30,80,50,7,50,15
26-03-2023,32,16,11,14,25,80,50,8,50,20
